Airport	State	City	Airport Name	Airport Size	Map																				
1G4	AZ	Peach Springs	Grand Canyon West Airport	Non-Hub
6Y8	MI	Beaver Island	Welke Airport	Non-Hub
ABE	PA	Allentown	Lehigh Valley International Airport	Non-Hub
ABI	TX	Abilene	Abilene Regional Airport	Non-Hub
ABQ	NY	Albuquerque	Albuquerque International Sunport	Medium Hub
ABR	SD	Aberdeen	Aberdeen Regional Airport	Non-Hub
ABY	GA	Albany	Southwest Georgia Regional Airport	Non-Hub
ACK	MA	Nantucket	Nantucket Memorial Airport	Non-Hub
ACT	TX	Waco	Waco Regional Airport	Non-Hub
ACV	CA	Arcata/Eureka	Arcata Airport	Non-Hub
ACY	NJ	Atlantic City	Atlantic City International Airport	Small Hub
ADQ	AK	Kodiak	Kodiak Airport	Non-Hub
AEX	LA	Alexandria	Alexandria International Airport	Non-Hub
AGS	GA	Augusta	Augusta Regional Airport (Bush Field)	Non-Hub
AKN	AK	King Salmon	King Salmon Airport	Non-Hub
ALB	NY	Albany	Albany International Airport	Small Hub
ALO	IA	Waterloo	Waterloo Regional Airport	Non-Hub
ALW	WA	Walla Walla	Walla Walla Regional Airport	Non-Hub
AMA	TX	Amarillo	Rick Husband Amarillo International Airport	Non-Hub
ANC	AK	Anchorage	Ted Stevens Anchorage International Airport	Medium Hub
ANI	AK	Aniak	Aniak Airport	Non-Hub
APN	MI	Alpena	Alpena County Regional Airport	Non-Hub
ART	NY	Watertown	Watertown International Airport	Non-Hub
ASE	CA	Aspen	Aspen-Pitkin County Airport (Sardy Field)	Non-Hub
ATL	GA	Atlanta	Hartsfield–Jackson Atlanta International Airport	Large Hub
ATW	WI	Appleton	Appleton International Airport	Non-Hub
AUS	TX	Austin	Austin-Bergstrom International Airport	Medium Hub
AVL	NC	Asheville	Asheville Regional Airport	Small Hub
AVP	PA	Wilkes-Barre/Scranton	Wilkes-Barre/Scranton International Airport	Non-Hub
AZO	MI	Kalamazoo/Battle Creek	Kalamazoo/Battle Creek International Airport	Non-Hub
BDL	CT	Hartford	Bradley International Airport	Medium Hub
BET	AK	Bethel	Bethel Airport (also see Bethel Seaplane Base)	Non-Hub
BFI	WA	Seattle	King County International Airport (Boeing Field)	Non-Hub
BFL	CA	Bakersfield	Meadows Field	Non-Hub
BGM	NY	Binghamton	Greater Binghamton Airport (Edwin A. Link Field)	Non-Hub
BGR	ME	Bangor	Bangor International Airport	Non-Hub
BHM	AL	Birmingham	Birmingham–Shuttlesworth International Airport	Small Hub
BID	RI	Block Island/New Shoreham	Block Island State Airport	Non-Hub
BIL	MT	Billings	Billings Logan International Airport	Small Hub
BIS	ND	Bismarck	Bismarck Municipal Airport	Non-Hub
BJI	MN	Bemidji	Bemidji Regional Airport	Non-Hub
BLI	WA	Bellingham	Bellingham International Airport	Small Hub
BLV	IL	Belleville	MidAmerica St. Louis Airport/Scott Air Force Base	Non-Hub
BMI	IL	Bloomington/Normal	Central Illinois Regional Airport at Bloomington-Normal	Non-Hub
BNA	TN	Nashville	Nashville International Airport (Berry Field)	Medium Hub
BOI	ID	Boise	Boise Air Terminal (Gowen Field)	Small Hub
BOS	MA	Boston	Gen. Edward Lawrence Logan International Airport	Large Hub
BPT	TX	Beaumont/Port Arthur	Jack Brooks Regional Airport	Non-Hub
BQK	GA	Brunswick	Brunswick Golden Isles Airport	Non-Hub
BQN	PR	Aguadilla	Rafael Hernández International Airport	Non-Hub
BRD	MN	Brainerd	Brainerd Lakes Regional Airport	Non-Hub
BRO	TX	Brownsville	Brownsville/South Padre Island International Airport	Non-Hub
BRW	AK	Barrow	Wiley Post–Will Rogers Memorial Airport	Non-Hub
BTM	MT	Butte	Bert Mooney Airport	Non-Hub
BTR	LA	Baton Rouge	Baton Rouge Metropolitan Airport (Ryan Field)	Non-Hub
BTV	VT	Burlington	Burlington International Airport	Small Hub
BUF	NY	Buffalo	Buffalo Niagara International Airport	Medium Hub
BUR	CA	Burbank	Bob Hope Airport (Hollywood Burbank Airport)	Medium Hub
BVU	NV	Boulder City	Boulder City Municipal Airport	Non-Hub
BWI	MD	Baltimore/Glen Burnie	Baltimore/Washington International Thurgood Marshall Airport	Large Hub
BZN	MT	Bozeman	Bozeman Yellowstone International Airport	Small Hub
CAE	SC	Columbia	Columbia Metropolitan Airport	Small Hub
CAK	OH	Akron/Canton	Akron-Canton Regional Airport	Small Hub
CDV	AK	Cordova	Merle K. (Mudhole) Smith Airport	Non-Hub
CEC	CA	Crescent City	Del Norte County Airport (Jack McNamara Field)	Non-Hub
CHA	TN	Chattanooga	Chattanooga Metropolitan Airport (Lovell Field)	Non-Hub
CHO	VA	Charlottesville	Charlottesville–Albemarle Airport	Non-Hub
CHS	SC	Charleston	Charleston International Airport/Charleston AFB	Small Hub
CIC	AR	Chico	Chico Municipal Airport	Non-Hub
CID	IA	Cedar Rapids	The Eastern Iowa Airport	Small Hub
CIU	MI	Sault Ste. Marie	Chippewa County International Airport	Non-Hub
CKB	WV	Clarksburg	North Central West Virginia Airport	Non-Hub
CLE	OH	Cleveland	Cleveland-Hopkins International Airport	Medium Hub
CLL	TX	College Station	Easterwood Airport (Easterwood Field)	Non-Hub
CLM	WA	Port Angeles	William R. Fairchild International Airport	Non-Hub
CLT	NC	Charlotte	Charlotte/Douglas International Airport	Large Hub
CMH	OH	Columbus	John Glenn Columbus International Airport	Medium Hub
CMI	IL	Champaign/Urbana	University of Illinois - Willard Airport	Non-Hub
CMX	MI	Hancock/Calumet	Houghton County Memorial Airport	Non-Hub
COD	WY	Cody	Yellowstone Regional Airport	Non-Hub
COS	CA	Colorado Springs	City of Colorado Springs Municipal Airport	Small Hub
COU	MS	Columbia	Columbia Regional Airport	Non-Hub
CPR	WY	Casper	Casper/Natrona County International Airport	Non-Hub
CRP	TX	Corpus Christi/Kingsville	Corpus Christi International Airport	Non-Hub
CRQ	CA	Carlsbad	McClellan–Palomar Airport	Non-Hub
CRW	WV	Charleston	Yeager Airport	Non-Hub
CSG	GA	Columbus	Columbus Metropolitan Airport	Non-Hub
