Yellow-ridged			Tucan	Ramphastos vitellinus culminatus	Ramphastos	Channel-billed	Ramphastidae	Piciformes
Ariel			Tucan	Ramphastos vitellinus ariel	Ramphastos	Channel-billed	Ramphastidae	Piciformes
R. v. vitellinus			Tucan	Ramphastos vitellinus	Ramphastos	Channel-billed	Ramphastidae	Piciformes
Wagler's toucanet			Tucan	Aulacorhynchus wagleri	Aulacorhynchus		Ramphastidae	Piciformes
Emerald toucanet			Tucan	Aulacorhynchus prasinus	Aulacorhynchus		Ramphastidae	Piciformes
Blue-throated toucanet			Tucan	Aulacorhynchus caeruleogularis	Aulacorhynchus		Ramphastidae	Piciformes
White-throated toucanet			Tucan	Aulacorhynchus albivitta	Aulacorhynchus		Ramphastidae	Piciformes
Black-throated toucanet			Tucan	Aulacorhynchus atrogularis	Aulacorhynchus		Ramphastidae	Piciformes
Hooded mountain toucan			Tucan	Andigena cucullata	Andigena		Ramphastidae	Piciformes
Collared aracari			Tucan	Pteroglossus torquatus	Pteroglossus		Ramphastidae	Piciformes
Ivory-billed aracari			Tucan	Pteroglossus azara	Pteroglossus		Ramphastidae	Piciformes
Blue-banded toucanet			Tucan	Aulacorhynchus coeruleicinctis	Aulacorhynchus		Ramphastidae	Piciformes
Red-necked aracari			Tucan	Pteroglossus bitorquatus	Pteroglossus		Ramphastidae	Piciformes
Guianan toucanet			Tucan	Selenidera piperivera	Selenidera		Ramphastidae	Piciformes
Fiery-billed aracari			Tucan	Pteroglossus frantzii	Pteroglossus		Ramphastidae	Piciformes
Many-banded aracari			Tucan	Pteroglossus pluricinctus	Pteroglossus		Ramphastidae	Piciformes
Curl-crested aracari			Tucan	Pteroglossus beauharnaisii	Pteroglossus		Ramphastidae	Piciformes
Black-necked aracari			Tucan	Pteroglossus aracari	Pteroglossus		Ramphastidae	Piciformes
Tepui toucanet			Tucan	Aulacorhynchus whitelianus	Aulacorhynchus		Ramphastidae	Piciformes
Green-billed			Tucan	Ramphastos dicolorus	Ramphastos		Ramphastidae	Piciformes
Saffron toucanet			Tucan	Pteroglossus bailloni	Pteroglossus		Ramphastidae	Piciformes
Black-billed mountain toucan			Tucan	Andigena nigrirostris	Andigena		Ramphastidae	Piciformes
Channel-billed			Tucan	Ramphastos vitellinus	Ramphastos		Ramphastidae	Piciformes
Choco			Tucan	Ramphastos brevis	Ramphastos		Ramphastidae	Piciformes
Golden-collared toucanet			Tucan	Selenidera reinwardtii	Selenidera		Ramphastidae	Piciformes
Toco			Tucan	Ramphastos toco	Ramphastos		Ramphastidae	Piciformes
Lettered aracari			Tucan	Pteroglossus inscriptus	Pteroglossus		Ramphastidae	Piciformes
White-throated			Tucan	Ramphastos tucanus	Ramphastos		Ramphastidae	Piciformes
Pale-mandibled aracari			Tucan	Pteroglossus erythropygius	Pteroglossus		Ramphastidae	Piciformes
Yellow-browed toucanet			Tucan	Aulacorhynchus huallagae	Aulacorhynchus		Ramphastidae	Piciformes
Chestnut-tipped toucanet			Tucan	Aulacorhynchus derbianus	Aulacorhynchus		Ramphastidae	Piciformes
Keel-billed			Tucan	Ramphastos sulfuratus	Ramphastos		Ramphastidae	Piciformes
Chestnut-eared aracari			Tucan	Pteroglossus castanotis	Pteroglossus		Ramphastidae	Piciformes
Grey-breasted mountain toucan			Tucan	Andigena hypoglauca	Andigena		Ramphastidae	Piciformes
Plate-billed mountain toucan			Tucan	Andigena laminirostris	Andigena		Ramphastidae	Piciformes
Groove-billed toucanet			Tucan	Aulacorhynchus sulcatus	Aulacorhynchus		Ramphastidae	Piciformes
Yellow-eared toucanet			Tucan	Selenidera spectabilis	Selenidera		Ramphastidae	Piciformes
Gould's toucanet			Tucan	Selenidera gouldii	Selenidera		Ramphastidae	Piciformes
Stripe-billed aracari			Tucan	Pteroglossus sanguineus	Pteroglossus		Ramphastidae	Piciformes
Spot-billed toucanet			Tucan	Selenidera maculirostris	Selenidera		Ramphastidae	Piciformes
Green aracari			Tucan	Pteroglossus viridis	Pteroglossus		Ramphastidae	Piciformes
Yellow-throated			Tucan	Ramphastos ambiguus	Ramphastos		Ramphastidae	Piciformes
Crimson-rumped toucanet			Tucan	Aulacorhynchus haematopygus	Aulacorhynchus		Ramphastidae	Piciformes
Tawny-tufted toucanet			Tucan	Selenidera nattereri	Selenidera		Ramphastidae	Piciformes
Brown-mandibled aracari			Tucan	Pteroglossus mariae	Pteroglossus		Ramphastidae	Piciformes
Citron-throated			Tucan	Ramphastos citreolaemus	Ramphastos		Ramphastidae	Piciformes
Great Blue			Turaco	Corythaeola cristata	Corythaeola		Musophagidae	Musophagiformes
Reichenow's			Turaco	Tauraco reichenowi	Tauraco		Musophagidae	Musophagiformes
Red-crested			Turaco	Proturacus erythrolophus	Tauraco		Musophagidae	Musophagiformes
Western Green			Turaco	Tauraco buffoni	Tauraco		Musophagidae	Musophagiformes
Rwenzori			Turaco	Gallirex johnstoni	Gallirex		Musophagidae	Musophagiformes
Zambia			Turaco	Tauraco marungensis	Tauraco		Musophagidae	Musophagiformes
Livingstone's			Turaco	Tauraco livingstonii	Tauraco		Musophagidae	Musophagiformes
Ross's			Turaco	Musophaga rossae	Musophaga		Musophagidae	Musophagiformes
Schalow's			Turaco	Tauraco schalowi	Tauraco		Musophagidae	Musophagiformes
Eastern Black-billed			Turaco	Tauraco emini	Tauraco		Musophagidae	Musophagiformes
Loita			Turaco	Tauraco loitanus	Tauraco		Musophagidae	Musophagiformes
Southern Purple-crested			Turaco	Gallirex porphyreolophus	Gallirex		Musophagidae	Musophagiformes
Hartlaub's			Turaco	Tauraco hartlaubi	Tauraco		Musophagidae	Musophagiformes
White-cheeked			Turaco	Menelikornis leucotis	Gallirex		Musophagidae	Musophagiformes
Ngorongoro			Turaco	Tauraco chalcolophus	Tauraco		Musophagidae	Musophagiformes
Guinea	Eastern Green		Turaco	Tauraco persa	Tauraco		Musophagidae	Musophagiformes
Knysna			Turaco	Tauraco corythaix	Tauraco		Musophagidae	Musophagiformes
White-crested			Turaco	Proturacus leucolophus	Tauraco		Musophagidae	Musophagiformes
Northern Purple-crested			Turaco	Gallirex chlorochlamys	Gallirex		Musophagidae	Musophagiformes
Prince Ruspoli's			Turaco	Menelikornis ruspolii	Gallirex		Musophagidae	Musophagiformes
Donaldson's			Turaco	Menelikornis donaldsoni	Gallirex		Musophagidae	Musophagiformes
Western Yellow-billed			Turaco	Musophaga macrorhynchus	Musophaga		Musophagidae	Musophagiformes
Fischer's			Turaco	Tauraco fischeri	Tauraco		Musophagidae	Musophagiformes
Kivu			Turaco	Gallirex kivuensis	Gallirex		Musophagidae	Musophagiformes
Violet			Turaco	Musophaga violacea	Musophaga		Musophagidae	Musophagiformes
Eastern Yellow-billed			Turaco	Musophaga verreauxii	Musophaga		Musophagidae	Musophagiformes
Bannerman's			Turaco	Proturacus bannermani	Tauraco		Musophagidae	Musophagiformes
Black-billed			Turaco	Tauraco schuettii	Tauraco		Musophagidae	Musophagiformes



Silvery-cheeked			Hornbill	Bycanistes brevis	Bycanistes		Bucerotidae	Bucerotiformes
Southern Ground			Hornbill	Bucorvus leadbeateri	Bucorvus		Bucorvidae	Bucerotiformes
Northern Ground	Abyssinian		Hornbill	Bucorvus abyssinicus	Bucorvus		Bucorvidae	Bucerotiformes
Western red-billed hornbill			Hornbill	Tockus kempi	Tockus		Bucerotidae	Bucerotiformes
Silvery-cheeked hornbill			Hornbill	Bycanistes brevis	Bycanistes		Bucerotidae	Bucerotiformes
Narcondam hornbill			Hornbill	Rhyticeros narcondami	Rhyticeros		Bucerotidae	Bucerotiformes
Rufous-necked hornbill			Hornbill	Aceros nipalensis	Aceros		Bucerotidae	Bucerotiformes
Rufous hornbill			Hornbill	Buceros hydrocorax	Buceros		Bucerotidae	Bucerotiformes
Austen's brown hornbill			Hornbill	Anorrhinus austeni	Anorrhinus		Bucerotidae	Bucerotiformes
Rhinoceros hornbill			Hornbill	Buceros rhinoceros	Buceros		Bucerotidae	Bucerotiformes
Helmeted hornbill			Hornbill	Rhinoplax vigil	Rhinoplax		Bucerotidae	Bucerotiformes
Tanzanian red-billed hornbill			Hornbill	Tockus ruahae	Tockus		Bucerotidae	Bucerotiformes
Bradfield's hornbill			Hornbill	Lophoceros bradfieldi	Lophoceros		Bucerotidae	Bucerotiformes
Monteiro's hornbill			Hornbill	Tockus monteiri	Tockus		Bucerotidae	Bucerotiformes
Papuan hornbill			Hornbill	Rhyticeros plicatus	Rhyticeros		Bucerotidae	Bucerotiformes
Sri Lanka grey hornbill			Hornbill	Ocyceros gingalensis	Ocyceros		Bucerotidae	Bucerotiformes
Writhed hornbill			Hornbill	Rhabdotorrhinus leucocephalus	Rhabdotorrhinus		Bucerotidae	Bucerotiformes
